,Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed,Positive Rate,7-day Average Positives,7-day Average Test Rate,14-day Average Positives,14-day Average Test Rate
97,2020-06-06,Albany,8,1961,751,31000,0.010652463382157125,14.0,0.018531451110239554,7.0,0.009265725555119777
98,2020-06-07,Albany,17,1978,1194,32194,0.01423785594639866,13.0,0.01471281015339361,6.0,0.007356405076696805
99,2020-06-08,Albany,5,1983,616,32810,0.008116883116883116,11.0,0.011711477228343623,5.0,0.005855738614171812
100,2020-06-09,Albany,3,1986,569,33379,0.005272407732864675,9.0,0.010022675891036134,4.0,0.005011337945518067
101,2020-06-10,Albany,10,1996,774,34153,0.012919896640826873,9.0,0.010119817971042352,4.0,0.005059908985521176
102,2020-06-11,Albany,11,2007,1103,35256,0.009972801450589302,9.0,0.010211655231462174,4.0,0.005105827615731087
103,2020-06-12,Albany,9,2016,739,35995,0.012178619756427604,9.0,0.010478704003735337,4.0,0.005239352001867668
104,2020-06-13,Albany,4,2020,874,36869,0.004576659038901602,8.0,0.009610731954698833,4.0,0.0048053659773494165
105,2020-06-14,Albany,2,2022,496,37365,0.004032258064516129,6.0,0.008152789400144187,3.0,0.004076394700072094
106,2020-06-15,Albany,4,2026,577,37942,0.006932409012131715,6.0,0.007983578813751127,3.0,0.0039917894068755636
107,2020-06-16,Albany,3,2029,592,38534,0.005067567567567568,6.0,0.007954315932994399,3.0,0.003977157966497199
108,2020-06-17,Albany,5,2034,843,39377,0.005931198102016607,5.0,0.006955930427450074,2.0,0.003477965213725037
109,2020-06-18,Albany,15,2049,1070,40447,0.014018691588785047,6.0,0.007533914732906609,3.0,0.0037669573664533044
110,2020-06-19,Albany,4,2053,610,41057,0.006557377049180328,5.0,0.006730880060442713,2.0,0.0033654400302213566
111,2020-06-20,Albany,1,2054,784,41841,0.0012755102040816326,4.0,0.006259287369754146,2.0,0.003129643684877073
112,2020-06-21,Albany,6,2060,931,42772,0.00644468313641246,5.0,0.006603919522882194,2.0,0.003301959761441097
113,2020-06-22,Albany,2,2062,427,43199,0.00468384074941452,5.0,0.006282695485351167,2.0,0.0031413477426755834
114,2020-06-23,Albany,3,2065,586,43785,0.005119453924914676,5.0,0.006290107822115039,2.0,0.0031450539110575194
115,2020-06-24,Albany,11,2076,1325,45110,0.00830188679245283,6.0,0.0066287776350345,3.0,0.00331438881751725
116,2020-06-25,Albany,8,2084,630,45740,0.012698412698412698,5.0,0.006440166364981306,2.0,0.003220083182490653
117,2020-06-26,Albany,7,2091,799,46539,0.008760951188986232,5.0,0.006754962670667864,2.0,0.003377481335333932
118,2020-06-27,Albany,6,2097,762,47301,0.007874015748031496,6.0,0.007697606319803559,3.0,0.0038488031599017794
119,2020-06-28,Albany,2,2099,514,47815,0.0038910505836575876,5.0,0.007332801669410006,2.0,0.003666400834705003
120,2020-06-29,Albany,3,2102,543,48358,0.0055248618784530384,5.0,0.007452947544986937,2.0,0.0037264737724934686
121,2020-06-30,Albany,10,2112,731,49089,0.013679890560875513,6.0,0.008675867064409913,3.0,0.004337933532204957
122,2020-07-01,Albany,13,2125,928,50017,0.014008620689655173,7.0,0.00949111476401025,3.0,0.004745557382005125
123,2020-07-02,Albany,5,2130,805,50822,0.006211180124223602,6.0,0.008564367253411805,3.0,0.004282183626705903
124,2020-07-03,Albany,15,2145,970,51792,0.015463917525773196,7.0,0.0095219338729528,3.0,0.0047609669364764
125,2020-07-04,Albany,7,2152,1098,52890,0.006375227686703097,7.0,0.00930782129276303,3.0,0.004653910646381515
126,2020-07-05,Albany,8,2160,626,53516,0.012779552715654952,8.0,0.010577607311619797,4.0,0.0052888036558098985
127,2020-07-06,Albany,4,2164,421,53937,0.009501187648456057,8.0,0.011145653850191657,4.0,0.005572826925095828
128,2020-07-07,Albany,11,2175,1020,54957,0.010784313725490196,9.0,0.010732000016565182,4.0,0.005366000008282591
129,2020-07-08,Albany,8,2183,1260,56217,0.006349206349206349,8.0,0.009637797967929634,4.0,0.004818898983964817
130,2020-07-09,Albany,7,2190,625,56842,0.0112,8.0,0.010350486521611978,4.0,0.005175243260805989
131,2020-07-10,Albany,18,2208,1252,58094,0.01437699680511182,9.0,0.010195212132946068,4.0,0.005097606066473034
132,2020-07-11,Albany,11,2219,815,58909,0.013496932515337423,9.0,0.011212598537036685,4.0,0.0056062992685183425
133,2020-07-12,Albany,6,2225,594,59503,0.010101010101010102,9.0,0.010829949592087423,4.0,0.005414974796043711
134,2020-07-13,Albany,22,2247,1139,60642,0.019315188762071993,11.0,0.012231949751175414,5.0,0.006115974875587707
135,2020-07-14,Albany,33,2280,860,61502,0.03837209302325582,15.0,0.016173061079427644,7.0,0.008086530539713822
136,2020-07-15,Albany,10,2290,1065,62567,0.009389671361502348,15.0,0.01660741322404136,7.0,0.00830370661202068
137,2020-07-16,Albany,20,2310,1098,63665,0.018214936247723135,17.0,0.01760954697371609,8.0,0.008804773486858045
138,2020-07-17,Albany,5,2315,816,64481,0.006127450980392157,15.0,0.016431040427327567,7.0,0.008215520213663783
139,2020-07-18,Albany,3,2318,335,64816,0.008955223880597015,14.0,0.01578222490807894,7.0,0.00789111245403947
140,2020-07-19,Albany,4,2322,877,65693,0.004561003420752566,13.0,0.014990795382327862,6.0,0.007495397691163931
141,2020-07-20,Albany,29,2351,1354,67047,0.02141802067946824,14.0,0.015291199941955895,7.0,0.007645599970977948
142,2020-07-21,Albany,18,2369,981,68028,0.01834862385321101,12.0,0.01243070434623521,6.0,0.006215352173117605
143,2020-07-22,Albany,32,2401,975,69003,0.03282051282051282,15.0,0.015777967411808137,7.0,0.007888983705904068
144,2020-07-23,Albany,25,2426,896,69899,0.027901785714285716,16.0,0.017161803049888503,8.0,0.008580901524944251
145,2020-07-24,Albany,12,2438,632,70531,0.0189873417721519,17.0,0.01899893030585418,8.0,0.00949946515292709
146,2020-07-25,Albany,13,2451,817,71348,0.01591187270501836,19.0,0.019992737280771517,9.0,0.009996368640385759
147,2020-07-26,Albany,2,2453,820,72168,0.0024390243902439024,18.0,0.01968959741927028,9.0,0.00984479870963514
